1,12 ½ ml,Sugar Syrup
24,12 ½ ml,Sugar Syrup
27,12 ½ ml,Sugar Syrup
43,12 ½ ml,Sugar Syrup
77,12 ½ ml,Sugar Syrup
83,12 ½ ml,Sugar Syrup
86,12 ½ ml,Sugar Syrup
89,12 ½ ml,Sugar Syrup
9,12 ½ ml,Sugar Syrup
22,12 ½ ml,Sugar Syrup
23,12 ½ ml,Sugar Syrup
56,12 ½ ml,Sugar Syrup
78,12 ½ ml,Sugar Syrup
94,12 ½ ml,Sugar Syrup
5,12 ½ ml,Sugar Syrup
64,12 ½ ml,Sugar Syrup
100,12 ½ ml,Sugar Syrup
80,15 ml,Sugar Syrup
45,15 ml,Sugar Syrup
75,15 ml,Sugar Syrup
50,20 ml,Sugar Syrup
54,20 ml,Sugar Syrup
66,5 ml,Sugar Syrup
65,2 Bar Spoons,Superfine Sugar
99,2 Bar Spoons,Superfine Sugar
97,25 ml,Sweet and Sour mix
61,12 ½ ml,Sweet Red Vermouth
18,25 ml,Sweet Red Vermouth
15,10 ml,Sweet Vermouth
14,15 ml,Sweet Vermouth
25,20 ml,Sweet Vermouth
82,25 ml,Sweet Vermouth
85,2,teaspoons Sugar
16,15 ml,Tequila
10,37 ½ ml,Tequila
55,37 ½ ml,Tequila
79,37 ½ ml,Tequila
50,50 ml,Tequila
52,50 ml,Tequila
58,50 ml,Tequila
60,50 ml,Tequila
14,10 dashes,Tobasco sauce
14,35 ml,Tomato Juice
74,Top-Up,Tonic Water
46,10 ml,Triple Sec
5,12 ½ ml,Triple Sec
10,12 ½ ml,Triple Sec
58,12 ½ ml,Triple Sec
66,12 ½ ml,Triple Sec
90,12 ½ ml,Triple Sec
95,12 ½ ml,Triple Sec
29,15 ml,Triple Sec
16,15 ml,Triple Sec
56,20 ml,Triple Sec
17,20 ml,Triple Sec
30,25 ml,Triple Sec
71,12 ½ ml,Vanilla Sugar Syrup
22,37 ½ ml,Vanilla Vodka
16,15 ml,Vodka
21,25 ml,Vodka
59,25 ml,Vodka
90,25 ml,Vodka
100,25 ml,Vodka
43,37 ½,Vodka
7,37 ½ ml,Vodka
24,37 ½ ml,Vodka
87,37 ½ ml,Vodka
40,37 ½ ml,Vodka
29,40 ml,Vodka
31,45 ml,Vodka
45,50 ml,Vodka
48,50 ml,Vodka
53,50 ml,Vodka
57,50 ml,Vodka
64,50 ml,Vodka
83,50 ml,Vodka
94,50 ml,Vodka
96,50 ml,Vodka
74,50 ml,Vodka Citrus
35,25 ml,Whiskey Liqueur
16,15 ml,White Rum
38,20 ml,White Rum
85,40 ml,White Rum
1,50 ml,White Rum
3,50 ml,White Rum
8,50 ml,White Rum
65,50 ml,White Rum
69,50 ml,White Rum
14,6 splashes,Worcestershire sauce
91,20 ml,Yellow Chartreuse
